file-name;class-name;split-index
4bf58f1c-8233-41fc-9614-344e6d0fc351.jpg;impacted-stool;0
9c3e5380-9621-4e74-b937-0c46f37e7ef3.jpg;impacted-stool;0
cf3667be-0c86-4ce7-a0f3-721144b67230.jpg;impacted-stool;0
8dbf6ead-8801-4a28-b811-62567dd2edb5.jpg;impacted-stool;0
af09c241-1417-4a42-91ef-df86bab65f7c.jpg;impacted-stool;0
600ad059-f433-48f3-a764-a203c5264923.jpg;impacted-stool;0
c7525eea-36f5-49fa-8825-0df8da4610c3.jpg;impacted-stool;0
b35e362b-96f8-4a30-aa6e-59ca20b3b428.jpg;impacted-stool;0
ed01919b-cf10-450c-a549-a23f2ab299d9.jpg;impacted-stool;0
41ccb123-1a78-4e00-a936-8becd9b3c4ab.jpg;impacted-stool;0
a9bb7f08-05ae-49a1-9ec2-3dc7ac5780d7.jpg;impacted-stool;0
011b9803-a7bb-4278-8cd8-44c53dd2508a.jpg;impacted-stool;0
a8c29f0c-e601-489d-ad1e-6d0702eba5b8.jpg;impacted-stool;0
2448ce8e-28f6-4376-a861-26440496ed70.jpg;impacted-stool;0
d5010b06-9ad9-4478-8c12-34caf0510d5e.jpg;impacted-stool;0
4ecd4b9e-c118-471c-a8e3-1bb6c78b94e8.jpg;impacted-stool;0
2f033abb-5900-43b1-a285-7780d6e54564.jpg;impacted-stool;0
1fa5f21c-2e80-4366-b379-deae9cbeebf1.jpg;impacted-stool;0
34dced48-5406-42df-acdb-48f65c86977b.jpg;impacted-stool;0
3fd35a41-03b7-4e2f-bd60-30c77de71ffc.jpg;impacted-stool;0
1ce80ee0-af81-466c-a3cc-2e70b2bb4822.jpg;impacted-stool;0
98f4ee02-c51d-4787-a414-c3a18f57dd7a.jpg;impacted-stool;0
fd7f1cc4-a819-4253-b778-9ed68816d343.jpg;impacted-stool;0
4b94c3d3-73f4-4182-b5ea-c3bb2f2857a1.jpg;impacted-stool;0
9b1d5e91-d021-4786-ba8e-b9811d6c9c66.jpg;impacted-stool;0
db798308-9faa-454b-97a8-bb8188c4f08f.jpg;impacted-stool;0
b144416f-a49f-4a97-bc3f-d74a40dfe03e.jpg;impacted-stool;0
cf5ffc9f-0963-4f9c-89a6-715e57883ea2.jpg;impacted-stool;0
7d69e991-e181-4405-a7cd-060fb2ac5b76.jpg;impacted-stool;0
3c59ec20-4bc3-48b7-b5de-e96b652f5fed.jpg;impacted-stool;0
0d2dab27-7dde-4f7a-b0f7-0f4e3bfca975.jpg;impacted-stool;0
68402820-8cbc-40dd-a5df-69127a186c76.jpg;impacted-stool;0
e0b4b947-2459-44ae-83b3-7ea61dbc7016.jpg;impacted-stool;0
30ce88da-47be-48b6-8da4-291433e70878.jpg;impacted-stool;0
32be0c4d-8762-48c0-8467-36951febc578.jpg;impacted-stool;0
cb9ee1f4-3103-4527-9032-acbae3f0b5e3.jpg;impacted-stool;0
a0b980ef-36a5-458a-bc99-471580b62101.jpg;impacted-stool;0
683f6960-1f6e-4568-8eb6-e6b6a9c61b91.jpg;impacted-stool;0
3307dd1b-fa6e-4377-993c-1c56b34acb9b.jpg;impacted-stool;0
9460ff0c-5c8f-4bae-84e5-0d83f52dfdf5.jpg;impacted-stool;0
